filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
21_side_0_20210609_0.jpg,3546488,"{""caption"":""""}",7,0,"{""name"":""point"",""cx"":1543,""cy"":707}","{""point_name"":{""hip"":true}}"
21_side_0_20210609_0.jpg,3546488,"{""caption"":""""}",7,1,"{""name"":""point"",""cx"":1516,""cy"":621}","{""point_name"":{""tail"":true}}"
21_side_0_20210609_0.jpg,3546488,"{""caption"":""""}",7,2,"{""name"":""point"",""cx"":1055,""cy"":1216}","{""point_name"":{""left_top"":true}}"
21_side_0_20210609_0.jpg,3546488,"{""caption"":""""}",7,3,"{""name"":""point"",""cx"":755,""cy"":2432}","{""point_name"":{""left_bottom"":true}}"
21_side_0_20210609_0.jpg,3546488,"{""caption"":""""}",7,4,"{""name"":""point"",""cx"":3059,""cy"":2453}","{""point_name"":{""right_bottom"":true}}"
21_side_0_20210609_0.jpg,3546488,"{""caption"":""""}",7,5,"{""name"":""point"",""cx"":2759,""cy"":1243}","{""point_name"":{""right_top"":true}}"
21_side_0_20210609_0.jpg,3546488,"{""caption"":""""}",7,6,"{""name"":""point"",""cx"":2290,""cy"":403}","{""point_name"":{""ear"":true}}"
21_top_0_20210609_0.jpg,4707564,"{""caption"":""""}",8,0,"{""name"":""point"",""cx"":2416,""cy"":348}","{""point_name"":{""nose"":true}}"
21_top_0_20210609_0.jpg,4707564,"{""caption"":""""}",8,1,"{""name"":""point"",""cx"":1516,""cy"":862}","{""point_name"":{""hip"":true}}"
21_top_0_20210609_0.jpg,4707564,"{""caption"":""""}",8,2,"{""name"":""point"",""cx"":1484,""cy"":980}","{""point_name"":{""tail"":true}}"
21_top_0_20210609_0.jpg,4707564,"{""caption"":""""}",8,3,"{""name"":""point"",""cx"":1157,""cy"":1511}","{""point_name"":{""left_top"":true}}"
21_top_0_20210609_0.jpg,4707564,"{""caption"":""""}",8,4,"{""name"":""point"",""cx"":1114,""cy"":2571}","{""point_name"":{""left_bottom"":true}}"
21_top_0_20210609_0.jpg,4707564,"{""caption"":""""}",8,5,"{""name"":""point"",""cx"":2625,""cy"":2630}","{""point_name"":{""right_bottom"":true}}"
21_top_0_20210609_0.jpg,4707564,"{""caption"":""""}",8,6,"{""name"":""point"",""cx"":2646,""cy"":1553}","{""point_name"":{""right_top"":true}}"
21_top_0_20210609_0.jpg,4707564,"{""caption"":""""}",8,7,"{""name"":""point"",""cx"":2332,""cy"":667}","{""point_name"":{""ear"":true}}"
22_side_0_20210609_0.jpg,3415949,"{""caption"":""""}",8,0,"{""name"":""point"",""cx"":1106,""cy"":914}","{""point_name"":{""nose"":true}}"
22_side_0_20210609_0.jpg,3415949,"{""caption"":""""}",8,1,"{""name"":""point"",""cx"":1286,""cy"":757}","{""point_name"":{""ear"":true}}"
22_side_0_20210609_0.jpg,3415949,"{""caption"":""""}",8,2,"{""name"":""point"",""cx"":2320,""cy"":920}","{""point_name"":{""tail"":true}}"
22_side_0_20210609_0.jpg,3415949,"{""caption"":""""}",8,3,"{""name"":""point"",""cx"":2386,""cy"":841}","{""point_name"":{""hip"":true}}"
22_side_0_20210609_0.jpg,3415949,"{""caption"":""""}",8,4,"{""name"":""point"",""cx"":1028,""cy"":1238}","{""point_name"":{""left_top"":true}}"
22_side_0_20210609_0.jpg,3415949,"{""caption"":""""}",8,5,"{""name"":""point"",""cx"":859,""cy"":2344}","{""point_name"":{""left_bottom"":true}}"
22_side_0_20210609_0.jpg,3415949,"{""caption"":""""}",8,6,"{""name"":""point"",""cx"":2843,""cy"":2224}","{""point_name"":{""right_bottom"":true}}"
22_side_0_20210609_0.jpg,3415949,"{""caption"":""""}",8,7,"{""name"":""point"",""cx"":2572,""cy"":1148}","{""point_name"":{""right_top"":true}}"
22_top_0_20210609_0.jpg,4697060,"{""caption"":""""}",7,0,"{""name"":""point"",""cx"":1725,""cy"":1300}","{""point_name"":{""ear"":true}}"
22_top_0_20210609_0.jpg,4697060,"{""caption"":""""}",7,1,"{""name"":""point"",""cx"":1581,""cy"":2407}","{""point_name"":{""tail"":true}}"
22_top_0_20210609_0.jpg,4697060,"{""caption"":""""}",7,2,"{""name"":""point"",""cx"":1669,""cy"":2455}","{""point_name"":{""hip"":true}}"
22_top_0_20210609_0.jpg,4697060,"{""caption"":""""}",7,3,"{""name"":""point"",""cx"":1284,""cy"":1075}","{""point_name"":{""left_top"":true}}"
22_top_0_20210609_0.jpg,4697060,"{""caption"":""""}",7,4,"{""name"":""point"",""cx"":136,""cy"":1107}","{""point_name"":{""left_bottom"":true}}"
22_top_0_20210609_0.jpg,4697060,"{""caption"":""""}",7,5,"{""name"":""point"",""cx"":1340,""cy"":2656}","{""point_name"":{""right_top"":true}}"
22_top_0_20210609_0.jpg,4697060,"{""caption"":""""}",7,6,"{""name"":""point"",""cx"":168,""cy"":2744}","{""point_name"":{""right_bottom"":true}}"
23_side_0_20210609_0.jpg,3760070,"{""caption"":""""}",8,0,"{""name"":""point"",""cx"":968,""cy"":673}","{""point_name"":{""nose"":true}}"
23_side_0_20210609_0.jpg,3760070,"{""caption"":""""}",8,1,"{""name"":""point"",""cx"":1400,""cy"":914}","{""point_name"":{""ear"":true}}"
