,file_name_top,file_name_side,nose_coordinate_top,ear_coordinate_top,hip_coordinate_top,tail_coordinate_top,left_top_coordinate_top,left_bottom_coordinate_top,right_top_coordinate_top,right_bottom_coordinate_top,nose_coordinate_side,ear_coordinate_side,hip_coordinate_side,tail_coordinate_side,left_top_coordinate_side,left_bottom_coordinate_side,right_top_coordinate_side,right_bottom_coordinate_side,nose_hip_top,nose_tail_top,ear_hip_top,ear_tail_top,nose_hip_side,nose_tail_side,ear_hip_side,ear_tail_side,length,weight,predict_length,predict_weight
0,21_top_0_20210609_0.jpg,21_side_0_20210609_0.jpg,"[2416, 348]","[2332, 667]","[1516, 862]","[1484, 980]","[1157, 1511]","[1114, 2571]","[2646, 1553]","[2625, 2630]",,"[2290, 403]","[1543, 707]","[1516, 621]","[1055, 1216]","[755, 2432]","[2759, 1243]","[3059, 2453]",1.6632368989402069,1.6126526815341642,1.819553641928184,1.7591743737564045,,,1.856375009299843,1.751146524611838,21,0.0,,
1,22_top_0_20210609_0.jpg,22_side_0_20210609_0.jpg,,"[1725, 1300]","[1669, 2455]","[1581, 2407]","[1284, 1075]","[136, 1107]","[1340, 2656]","[168, 2744]","[1106, 914]","[1286, 757]","[2386, 841]","[2320, 920]","[1028, 1238]","[859, 2344]","[2572, 1148]","[2843, 2224]",,,1.3589219904946754,1.4257797640598229,1.1061584072444253,1.1839283975074897,1.266531214202634,1.370196290169575,22,0.0,,
2,23_top_0_20210609_0.jpg,23_side_0_20210609_0.jpg,"[1004, 763]","[1340, 926]","[2374, 901]","[2242, 1088]","[1142, 1376]","[1118, 2350]","[2506, 1388]","[2506, 2380]","[968, 673]","[1400, 914]","[2440, 715]","[2368, 811]","[1040, 1214]","[757, 2302]","[2656, 1184]","[2939, 2284]",0.9848717884301909,1.0903709982665837,1.3085330032064255,1.4989891065408845,0.9218013209768768,0.9925942903698206,1.3726939507506215,1.4926790997102513,23,0.0,26.321231946837425,
3,25_top_0_20210609_0.jpg,25_side_0_20210609_0.jpg,"[1028, 974]","[1454, 944]","[2488, 865]","[2494, 980]","[1190, 1394]","[1160, 2344]","[2494, 1388]","[2536, 2350]","[956, 1010]","[1400, 877]","[2446, 980]","[2428, 938]","[1076, 1394]","[920, 2440]","[2506, 1358]","[2741, 2356]",0.8681805993091521,0.8683106533583999,1.2259341241131536,1.2227662229663092,0.861292183952493,0.864652103404204,1.2042302792564288,1.2174466202972185,25,0.0,26.321231946837425,
4,25_top_1336_20210610_0.jpg,25_side_1336_20210610_0.jpg,"[2855, 745]","[2482, 829]","[1496, 1076]","[1316, 1118]","[1208, 1514]","[1208, 2626]","[2698, 1490]","[2765, 2572]","[2728, 697]","[2458, 805]","[1496, 865]","[1304, 889]","[1166, 1190]","[992, 2224]","[2614, 1226]","[2771, 2272]",1.0646695642140829,0.9401373185992598,1.4669321746886497,1.240499998376424,1.0748813895875475,0.9296431112136896,1.3848010629104963,1.1561855103679082,25,13.36,26.321231946837425,13.457846695880997
5,26_top_0_20210609_0.jpg,26_side_0_20210609_0.jpg,"[1028, 1346]","[1292, 1172]","[2398, 1118]","[2296, 1262]","[1202, 1575]","[1196, 2458]","[2428, 1551]","[2470, 2440]","[865, 1070]","[1304, 751]","[2422, 787]","[2374, 907]","[1064, 1292]","[853, 2374]","[2572, 1250]","[2819, 2308]",0.8786233918652984,0.9545284695902422,1.0875333747455969,1.2052373277619246,0.8644873137615092,0.9122048630711544,1.157322400691924,1.23631808502563,26,0.0,26.81789332825006,
6,26_top_0_20210609_1.jpg,26_side_0_20210609_1.jpg,"[1106, 745]","[1400, 938]","[2530, 992]","[2518, 1064]","[1058, 1521]","[1040, 2506]","[2458, 1502]","[2470, 2512]","[1262, 950]","[1557, 956]","[2554, 974]","[2566, 1040]","[1124, 1478]","[907, 2512]","[2560, 1418]","[2831, 2452]",0.9687442575524744,0.9775501332546968,1.223852511018818,1.2373647546680355,0.9351226289892676,0.9384954069069325,1.211973467126698,1.2086058369781745,26,0.0,26.81789332825006,
7,26_top_0_20210610_0.jpg,26_side_0_20210610_0.jpg,"[2867, 763]","[2392, 865]","[1148, 901]","[1088, 1058]","[1028, 1364]","[1028, 2386]","[2482, 1376]","[2452, 2386]","[3083, 631]","[2566, 553]","[992, 673]","[1184, 823]","[962, 1076]","[535, 2344]","[2795, 1142]","[3107, 2440]",0.8559227474751872,0.826527466081957,1.1810841670402836,1.127026569271349,0.7535698499050905,0.8633714710760931,0.9856117658180552,1.1663799586826842,26,0.0,27.67434953870188,
8,27_top_0_20210609_0.jpg,27_side_0_20210609_0.jpg,"[853, 853]","[1268, 986]","[2470, 775]","[2482, 877]","[968, 1527]","[883, 2554]","[2386, 1611]","[2344, 2638]","[1028, 781]","[1442, 757]","[2566, 631]","[2554, 703]","[1058, 1286]","[775, 2374]","[2614, 1274]","[2861, 2362]",0.8630934058460235,0.8548075006250568,1.1737233084438363,1.157256273961209,0.8300335177105819,0.84773213899028,1.1407992888348364,1.1624851571575132,27,0.0,27.67434953870188,
9,27_top_0_20210611_0.jpg,27_side_0_20210611_0.jpg,"[992, 877]","[1328, 962]","[2254, 1010]",,"[1232, 1424]","[1238, 2188]","[2302, 1400]","[2326, 2164]","[1148, 781]","[1448, 769]","[2320, 823]","[2278, 895]","[1268, 1178]","[1154, 1881]","[2386, 1214]","[2458, 1911]",0.8414960400737757,,1.1463022070216162,,0.8655220275437512,0.906572680181818,1.1586239834347003,1.2255270769826991,27,0.0,,
10,28_top_0_20210609_0.jpg,28_side_0_20210609_0.jpg,"[2422, 565]","[2302, 865]","[1412, 895]",,"[1184, 1262]","[1178, 2284]","[2626, 1244]","[2650, 2284]",,"[2266, 871]","[1448, 974]","[1400, 877]","[1160, 1250]","[926, 2254]","[2656, 1250]","[2861, 2272]",1.409109736915871,,1.6077515869839578,,,,1.6560862846548186,1.539093598558421,28,0.0,,
11,28_top_0_20210609_1.jpg,28_side_0_20210609_1.jpg,"[2422, 631]","[2121, 841]","[1064, 865]","[1076, 962]","[1190, 1322]","[1142, 2236]","[2464, 1370]","[2428, 2260]","[2524, 529]","[2194, 559]","[956, 763]","[1022, 841]","[1094, 1196]","[907, 2350]","[2716, 1154]","[3041, 2272]",0.9418460654120294,0.9539150494153136,1.2029835941252394,1.2223860776004218,0.8702556363224245,0.9172362461467964,1.096287018806496,1.1633413972969708,28,0.0,27.67434953870188,
12,28_top_0_20210609_2.jpg,28_side_0_20210609_2.jpg,"[2410, 553]","[2272, 859]","[1448, 938]",,"[1196, 1262]","[1172, 2284]","[2626, 1250]","[2662, 2296]",,"[2266, 877]","[1442, 980]","[1400, 877]","[1148, 1244]","[920, 2272]","[2638, 1250]","[2867, 2272]",1.453339592851956,,1.709181917399813,,,,1.634374459542253,1.530051772464169,28,0.0,,
13,29_top_0_20210609_0.jpg,29_side_0_20210609_0.jpg,"[1040, 871]","[1364, 1034]","[2518, 841]","[2470, 938]","[1256, 1352]","[1202, 2302]","[2590, 1394]","[2572, 2356]","[1040, 895]",,"[1352, 944]","[2518, 799]","[1184, 1340]","[895, 2422]","[2759, 1346]","[3011, 2452]",0.8909041575423133,0.9200873723153662,1.150253877109552,1.1981115704889944,4.563929706341041,0.896597213744288,,,29,0.0,,
14,29_top_0_20210609_1.jpg,29_side_0_20210609_1.jpg,"[883, 727]","[1220, 962]","[2548, 962]","[2398, 1052]","[1208, 1508]","[1178, 2584]","[2650, 1502]","[2722, 2560]","[1112, 589]","[1358, 637]","[2482, 733]","[2422, 805]","[1274, 1088]","[1064, 1935]","[2626, 1118]","[2807, 1977]",0.8321131619590995,0.9207541626859028,1.0467081095197583,1.1861774182552538,0.8436777250994757,0.899632974886262,1.0327291629982565,1.1090492922425186,29,0.0,29.45609952016347,
15,29_top_0_20210611_0.jpg,29_side_0_20210611_0.jpg,"[829, 679]","[1166, 932]","[2662, 817]","[2626, 901]","[1016, 1521]","[1076, 2632]","[2554, 1406]","[2650, 2518]","[1166, 589]","[1521, 613]","[2747, 697]","[2662, 799]","[1226, 1172]","[1118, 2248]","[2710, 1154]","[2939, 2200]",0.8352463962044294,0.8556920858677012,1.0155453462302222,1.0453529634963514,0.8375451772244129,0.9013821714956376,1.0800349150695554,1.1789890787298607,29,0.0,29.45609952016347,
16,30_top_0_20210609_0.jpg,30_side_0_20210609_0.jpg,"[1034, 439]","[1154, 841]","[2686, 895]","[2638, 950]","[1130, 1454]","[1100, 2512]","[2602, 1466]","[2614, 2518]",,"[1148, 619]","[2650, 733]","[2542, 841]","[1052, 1250]","[787, 2476]","[2734, 1262]","[3029, 2476]",0.8700902810249302,0.8966943189756433,0.9452100680088128,0.9762017102289952,,,0.9433276241374268,1.038925381225363,30,0.0,,
17,30_top_0_20210611_0.jpg,30_side_0_20210611_0.jpg,"[776, 1115]","[681, 934]","[709, 443]","[659, 466]","[469, 469]","[98, 475]","[485, 972]","[124, 994]","[1117, 237]","[977, 318]","[439, 256]","[448, 297]","[415, 465]","[332, 885]","[1001, 465]","[1072, 883]",0.7293953368392545,0.7551389776420988,1.0081614081292078,1.055670283572099,0.747207969340665,0.7718846469678913,0.966718669950351,0.9977808690642757,30,0.0,30.37563711632407,
18,31_top_0_20210609_0.jpg,31_side_0_20210609_0.jpg,"[571, 1034]","[1088, 974]","[2422, 1226]",,"[1034, 1490]","[980, 2464]","[2404, 1551]","[2362, 2536]","[661, 950]","[1184, 920]","[2608, 1022]","[2494, 1094]","[1040, 1388]","[787, 2440]","[2542, 1376]","[2771, 2428]",0.7354871714161904,,1.0157571076047296,,0.6793595690632187,0.7332382129090209,0.919656750309458,1.0127409908632994,31,0.0,,
19,31_top_0_20210609_1.jpg,31_side_0_20210609_1.jpg,"[1190, 649]","[1490, 853]","[2440, 974]","[2518, 944]","[1160, 1394]","[1124, 2380]","[2542, 1412]","[2542, 2404]","[1166, 667]","[1436, 709]","[2476, 847]",,"[1034, 1184]","[769, 2236]","[2572, 1238]","[2801, 2260]",1.083818292878958,1.0201631538958589,1.4324330293224898,1.3241711763487996,1.0079106237173217,,1.2710193942295478,,31,0.0,,
20,31_top_0_20210610_0.jpg,31_side_0_20210610_0.jpg,"[679, 733]","[1184, 757]","[2921, 775]","[2759, 895]","[1184, 1292]","[1130, 2452]","[2783, 1340]","[2789, 2476]","[535, 619]","[998, 445]","[2867, 583]","[2759, 703]","[907, 1028]","[379, 2356]","[2849, 1118]","[3275, 2452]",0.7004648366009169,0.756035815718905,0.9044991158938516,0.998003600041138,0.6887492601898937,0.7438172633463139,0.8233348299555926,0.8991148187749786,31,0.0,31.22867789308586,
21,37_top_0_20210609_0.jpg,37_side_0_20210609_0.jpg,"[901, 685]","[1256, 907]","[2536, 583]",,"[1160, 1466]","[1118, 2464]","[2500, 1502]","[2500, 2464]","[907, 757]","[1190, 914]","[2476, 685]",,"[1052, 1412]","[847, 2542]","[2566, 1442]","[2747, 2560]",0.7989993687074746,,1.0291057078788957,,0.8098421826665151,,1.0136878238593,,37,0.0,,
22,40_top_0_20210609_0.jpg,40_side_0_20210609_0.jpg,"[1733, 995]","[1677, 1412]","[1829, 2696]",,"[987, 1324]","[96, 1284]","[963, 2455]","[96, 2495]","[956, 871]","[1394, 781]","[2728, 805]",,"[1202, 1490]","[950, 2464]","[2638, 1533]","[2903, 2530]",0.6216134989721859,,0.8270253084106303,,0.6101437207069715,,0.792848764539573,,40,0.0,,
